sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C17-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2373,4.385964343097444,0.6063833711386274,0.8395061728395061,1.578613510678729,0.49499877339975845,0.7945383226268165
C17-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3926,3.6251748228320464,0.7469431074862054,0.8857705286839146,1.448199405748912,0.48013190670289857,0.8388841148978476
C18-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1900,5.139136274255973,0.5705726038270004,0.8333333333333333,1.5929443645875656,0.49683584314613527,0.7962259229045535
C18-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2597,4.2237377220823085,0.6228882255994856,0.8468208092485549,1.527194986149282,0.48970410628019323,0.8002637372122963
C18-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3928,3.6686958872205877,0.7422768339968028,0.8826553361135154,1.4370943301778714,0.4826068085748792,0.8400167042494339
C19-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1781,5.421684955525073,0.5272103805128353,0.8126801152737751,1.6220353690909808,0.49358299365942027,0.775619276964881
C19-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2317,4.632358183109277,0.5810467528041591,0.8297872340425532,1.5926693297607148,0.4908453162741546,0.7805430211199543
C19-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3566,3.79626666125431,0.6935452796177354,0.8685529556650247,1.527904969737141,0.48415279664855077,0.8242373611409796
C20-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C20-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C20-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C21-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1992,5.0582035897342195,0.5282523578246202,0.8075413575035915,1.6184532284358895,0.48651824803743965,0.7684773065283859
C21-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2548,4.425590477585255,0.5724977241607483,0.818811335229997,1.609334152024927,0.4805168704710145,0.7743596229161348
C21-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3082,4.062846892798531,0.6347611904210826,0.8461538461538461,1.5782254950582986,0.48054423309178745,0.7999807997441525
C22-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C22-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C22-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C23-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C23-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C23-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C24-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1802,5.2762882147993135,0.5376961666228313,0.8241082849466013,1.6087613536652021,0.498371452294686,0.7916688349645229
C24-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2246,4.48614610395171,0.595646625064248,0.8359839453366207,1.5578214879772554,0.4889893757548309,0.7884268547019573
C24-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4339,3.527538952173992,0.7741961195485275,0.8939929328621908,1.4344150874142476,0.4813905872584541,0.8495495174793296
