sample_id,precursor,d_um,D_f,solidity,elongation,roughness_ratio,n_scales,seg_config_hash
C01-L,L,8.947492142520437,1.0815964749638094,0.8763029881862404,0.11362575830236477,1.139766843606153,7,4127c40a82c2
C01-L,L,12.039175298882629,1.0350859216264687,0.9375770020533881,0.08750130488495311,1.0348712988574411,7,4127c40a82c2
C01-L,L,9.65727681802293,1.0242778360819562,0.9344783715012722,0.2994818623284794,1.0533008588991066,6,4127c40a82c2
C01-L,L,11.683232310879381,1.045201146761948,0.8921161825726142,0.11405737893585244,1.2690841653061407,8,4127c40a82c2
C01-L,L,6.891195666599453,1.0306817246028832,0.7974413646055437,0.21777033389183875,1.0551587402813105,6,4127c40a82c2
C01-L,L,13.524319172814865,1.0299519563141761,0.9378255208333334,0.15130845479237376,1.1346790495093197,7,4127c40a82c2
C01-L,L,14.590176951476625,1.0546915764220794,0.8447971781305115,0.3195520238212193,1.457010044314414,8,4127c40a82c2
C01-L,L,10.525470006990199,1.0433674406437055,0.9093277748827514,0.23976882447632375,1.060394599717819,7,4127c40a82c2
C01-L,L,10.47710458162205,1.0528762936592408,0.6642335766423357,0.46008915284170515,1.395801859521813,8,4127c40a82c2
C01-L,L,12.507316334285655,1.049232027937989,0.9640062597809077,0.10847341675518718,1.057475587449725,6,4127c40a82c2
C01-L,L,7.879763986871585,1.043478028292963,0.9063948100092678,0.31305393078177424,1.0335094770407378,6,4127c40a82c2
C01-L,L,7.774317204833238,1.0588738959645325,0.7848309975267931,0.37126732039941535,1.3340442080200907,6,4127c40a82c2
C01-L,L,7.311387941523849,1.0607383042883445,0.8743509865005192,0.15121938332064233,1.193168290388378,6,4127c40a82c2
C01-L,L,9.175200099128391,1.0373536130304752,0.5597298438159561,0.2656852333273463,1.2613952206037518,8,4127c40a82c2
C01-L,L,16.202481689700914,1.0609582396057637,0.5494286473558331,0.43181159902001864,1.8391766641416694,8,4127c40a82c2
C01-L,L,9.042774769464295,1.0170270159532322,0.8791808873720136,0.3600628830689624,1.0651699404351185,6,4127c40a82c2
C01-L,L,6.482951567469869,,0.9430199430199431,0.4517955390345537,1.0079669664101778,0,4127c40a82c2
C01-L,L,11.18063939232962,1.0625698001432775,0.8635964912280701,0.03255962471203755,1.1869094309151988,7,4127c40a82c2
C01-L,L,14.116903313254111,1.0732671282334214,0.6579333473066443,0.17922557791324734,1.6791306480604091,8,4127c40a82c2
C01-L,L,14.286777166713845,1.0521085878634109,0.6598932676518884,0.16459648054119824,1.333211289569183,8,4127c40a82c2
C01-L,L,13.17958783879696,1.0788111392136643,0.8106666666666666,0.1902319247917642,1.3988312554342504,8,4127c40a82c2
C01-L,L,15.059116999739672,1.0711433517098454,0.7666881305001073,0.17468124744633207,1.429290094320894,8,4127c40a82c2
C01-L,L,11.718500478887735,1.091006118166254,0.760548523206751,0.43094711112258177,1.7238191063000905,8,4127c40a82c2
C01-L,L,9.41089409626298,1.0518007051530467,0.7120980091883614,0.28988551578714805,1.2263184827503264,8,4127c40a82c2
C01-L,L,5.1944341779621475,,0.91792656587473,0.15858343270947994,1.0282102129163257,0,4127c40a82c2
C01-L,L,11.089413885039368,1.0497535375421816,0.9453391898487067,0.08164572097999057,1.052974274585403,6,4127c40a82c2
C01-L,L,5.600247964261322,,0.8576388888888888,0.13758061114313613,1.0838818343396868,0,4127c40a82c2
C01-L,L,10.434600939526478,1.0595612049351926,0.927027027027027,0.17900767384667393,1.0922483276371724,6,4127c40a82c2
C01-L,L,7.903898083159667,1.0214392550698022,0.9335863377609108,0.4032800340157465,1.0157538221041689,6,4127c40a82c2
C01-L,L,8.106137334173212,1.0740632024645769,0.6863395225464191,0.19722436206488736,1.3387023993332352,7,4127c40a82c2
C01-L,L,7.8636334397876935,1.0359594542039465,0.9128397375820057,0.1984798186293345,1.0425995845931384,6,4127c40a82c2
C01-L,L,11.560319376152671,1.06896580395703,0.6578125,0.17918188510115907,1.2884330777012583,8,4127c40a82c2
C01-L,L,6.623427792592039,1.1009069566793601,0.8509852216748769,0.41273343207247637,1.1268532691755022,6,4127c40a82c2
C01-L,L,7.228425344953597,1.0487122235672777,0.8955386289445049,0.290738782744815,1.063823569730791,5,4127c40a82c2
C01-L,L,9.709726772351917,1.0342802092609094,0.6743869209809265,0.37867725965420884,1.43676996187386,8,4127c40a82c2
C01-L,L,14.733072731013824,1.0578411032960433,0.8054181389870436,0.3310235509871813,1.5606601717798212,8,4127c40a82c2
C01-L,L,10.96852904324309,1.0472979548129395,0.8105218135158255,0.34880867816530803,1.3634902373739,7,4127c40a82c2
C01-L,L,12.626039356977284,1.0762451441261767,0.7581521739130435,0.20576240656477862,1.7238576250846032,8,4127c40a82c2
C01-L,L,12.47936698911039,1.080108863233091,0.6933295647258338,0.2914831385065505,1.545701616572712,8,4127c40a82c2
C01-L,L,6.560827652054618,,0.8909329829172142,0.3124398181798075,1.0859891791606615,0,4127c40a82c2
C01-L,L,7.891840260603777,1.092395228373175,0.7581143740340031,0.4967678891194939,1.3345115884973455,7,4127c40a82c2
C01-L,L,9.199386320977345,1.0790606725162855,0.9218533886583679,0.10557710828360678,1.1125981016482493,6,4127c40a82c2
