sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C17-S,2153,4.521387384732147,3,percentile_85,85.0,0.082
C18-L,414,10.687061055345488,3,percentile_85,85.0,0.082
C18-M,480,9.223506552685858,3,percentile_85,85.0,0.082
C18-S,2016,4.853228476755571,3,percentile_85,85.0,0.082
C19-L,358,11.41802808784567,3,percentile_85,85.0,0.082
C19-M,382,10.422423424917339,3,percentile_85,85.0,0.082
C19-S,1820,5.095718592639985,3,percentile_85,85.0,0.082
C20-L,394,10.890108400973949,3,percentile_85,85.0,0.082
C20-M,424,10.309080717064955,3,percentile_85,85.0,0.082
C20-S,1758,5.120575904019775,3,percentile_85,85.0,0.082
C21-L,348,11.367872009538718,3,percentile_85,85.0,0.082
C21-M,569,8.499921471804495,3,percentile_85,85.0,0.082
C21-S,1657,5.273280067746964,3,percentile_85,85.0,0.082
C22-L,325,11.62603465328388,3,percentile_85,85.0,0.082
C22-M,302,11.417841925316228,3,percentile_85,85.0,0.082
C22-S,1626,5.300298767133764,3,percentile_85,85.0,0.082
C23-L,314,11.61777759630328,3,percentile_85,85.0,0.082
C23-M,548,9.000550774933174,3,percentile_85,85.0,0.082
C23-S,1088,6.361856130054793,3,percentile_85,85.0,0.082
C24-L,434,10.461944092329166,3,percentile_85,85.0,0.082
C24-M,432,9.947115943572683,3,percentile_85,85.0,0.082
C24-S,2269,4.457752488928697,3,percentile_85,85.0,0.082
C25-L,403,10.901762201365578,3,percentile_85,85.0,0.082
C25-M,551,8.651684724070629,3,percentile_85,85.0,0.082
C25-S,1958,4.892315511878591,3,percentile_85,85.0,0.082
C26-L,412,10.78020914977964,3,percentile_85,85.0,0.082
C26-M,357,11.189153651255362,3,percentile_85,85.0,0.082
C26-S,1677,5.1267714004225615,3,percentile_85,85.0,0.082
C27-L,415,10.489216845298648,3,percentile_85,85.0,0.082
C27-M,451,9.791117355940386,3,percentile_85,85.0,0.082
C27-S,1909,4.754105131057737,3,percentile_85,85.0,0.082
C01-L,459,9.667132860885456,3,percentile_95,95.0,0.082
C01-M,334,10.454356153493144,3,percentile_95,95.0,0.082
C01-S,2757,4.007781562259003,3,percentile_95,95.0,0.082
C02-L,459,9.807314418056096,3,percentile_95,95.0,0.082
C02-M,331,11.092276038625558,3,percentile_95,95.0,0.082
C02-S,2388,4.400415665098895,3,percentile_95,95.0,0.082
C03-L,492,9.4697353194502,3,percentile_95,95.0,0.082
C03-M,368,10.56460216943016,3,percentile_95,95.0,0.082
C03-S,2541,4.253693684128203,3,percentile_95,95.0,0.082
C04-L,447,10.238051716608437,3,percentile_95,95.0,0.082
C04-M,348,10.753711129042799,3,percentile_95,95.0,0.082
C04-S,2277,4.34962598416327,3,percentile_95,95.0,0.082
C05-L,502,9.394008085304392,3,percentile_95,95.0,0.082
C05-M,350,10.859430665822693,3,percentile_95,95.0,0.082
C05-S,2954,3.9679813550430554,3,percentile_95,95.0,0.082
C06-L,456,9.90554285891217,3,percentile_95,95.0,0.082
C06-M,345,11.405511364701505,3,percentile_95,95.0,0.082
C06-S,1722,5.098831433503168,3,percentile_95,95.0,0.082
C07-L,454,9.833169454884608,3,percentile_95,95.0,0.082
C07-M,306,11.302063868042776,3,percentile_95,95.0,0.082
C07-S,2678,4.147901434618866,3,percentile_95,95.0,0.082
C08-L,461,9.81701982806897,3,percentile_95,95.0,0.082
C08-M,383,10.281367934230731,3,percentile_95,95.0,0.082
C08-S,2691,4.031473088198847,3,percentile_95,95.0,0.082
C09-L,496,9.594620100662157,3,percentile_95,95.0,0.082
C09-M,379,10.238051716608437,3,percentile_95,95.0,0.082
C09-S,2306,4.155547342369718,3,percentile_95,95.0,0.082
C10-L,499,9.862185455150303,3,percentile_95,95.0,0.082
C10-M,298,11.807554267699294,3,percentile_95,95.0,0.082
C10-S,2609,4.124878677152203,3,percentile_95,95.0,0.082
C11-L,413,10.333722100782232,3,percentile_95,95.0,0.082
C11-M,350,10.756650463123862,3,percentile_95,95.0,0.082
C11-S,2604,4.204905181915601,3,percentile_95,95.0,0.082
C12-L,464,9.634226087709997,3,percentile_95,95.0,0.082
C12-M,356,10.464962472993708,3,percentile_95,95.0,0.082
C12-S,2004,4.882572006184308,3,percentile_95,95.0,0.082
C13-L,425,10.47710458162205,3,percentile_95,95.0,0.082
C13-M,291,11.585006288686937,3,percentile_95,95.0,0.082
C13-S,2521,4.298236193901963,3,percentile_95,95.0,0.082
C14-L,466,9.797590822653047,3,percentile_95,95.0,0.082
C14-M,311,11.449955805335657,3,percentile_95,95.0,0.082
C14-S,2744,4.047190391814686,3,percentile_95,95.0,0.082
C15-L,472,9.787874727152687,3,percentile_95,95.0,0.082
C15-M,275,11.313293295029679,3,percentile_95,95.0,0.082
C15-S,2169,4.42917685796118,3,percentile_95,95.0,0.082
C16-L,439,10.122680920957952,3,percentile_95,95.0,0.082
