sample_id,filename,mag_raw,mag_bucket,pixel_um,pixel_source,mag_read_error,pixel_read_error
C10-S,C10-S-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C10-S,C10-S-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C10-S,C10-S-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C10-S,C10-S-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C10-S,C10-S-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C10-S,C10-S-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C10-S,C10-S-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C10-S,C10-S-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-L,C11-L-01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-L,C11-L-02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-L,C11-L-03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-L,C11-L-04.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-L,C11-L-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-L,C11-L-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-L,C11-L-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-L,C11-L-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-L,C11-L-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-L,C11-L-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-L,C11-L-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-L,C11-L-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-M,C11-M-01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-M,C11-M-02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-M,C11-M-03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-M,C11-M-04.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-M,C11-M-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-M,C11-M-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-M,C11-M-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-M,C11-M-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-M,C11-M-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-M,C11-M-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-M,C11-M-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-M,C11-M-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-S,C11-S-01.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-S,C11-S-02.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-S,C11-S-03.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-S,C11-S-04.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-S,C11-S-05.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-S,C11-S-06.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-S,C11-S-07.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-S,C11-S-08.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C11-S,C11-S-09.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C11-S,C11-S-10.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C11-S,C11-S-11.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C11-S,C11-S-12.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C12-L,C12-L-001.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C12-L,C12-L-002.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C12-L,C12-L-003.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C12-L,C12-L-004.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C12-L,C12-L-005.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C12-L,C12-L-006.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C12-L,C12-L-007.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C12-L,C12-L-008.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C12-L,C12-L-009.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C12-L,C12-L-010.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C12-L,C12-L-011.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C12-L,C12-L-012.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C12-M,C12-M-001.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
