subset_id,subset_description,group,target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p,n_samples,design_orthogonal,type_agreement,type_max_abs_diff
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,precursor:T_C,0.00011759474713812779,2.0,5.879737356906389e-05,0.2427747239976319,0.7860823174959635,0.0022496763927204737,0.0,0.9438112377524495,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,precursor:beta,0.00020433620482407377,2.0,0.00010216810241203689,0.42185273522990363,0.6599297507353774,0.003909106038817006,0.0,0.9060187962407519,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,precursor:t_hold,0.0009410304453396634,2.0,0.0004705152226698317,1.9427603035053616,0.16214489020725154,0.01800262366502827,0.00869581552222337,0.6250749850029994,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,T_C:beta,0.00124099881412576,4.0,0.00031024970353144,1.2810229704685707,0.3010705601382081,0.02374124528073945,0.005184189235833729,0.8814237152569486,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,T_C:t_hold,0.0003470602095205777,4.0,8.676505238014443e-05,0.35825344510477597,0.8360929753414015,0.006639524121719164,0.0,0.9884023195360928,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,beta:t_hold,0.0002299740707698561,4.0,5.7493517692464025e-05,0.23739109491082566,0.9148322879380193,0.004399577791864027,0.0,0.9966006798640272,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,Residual,0.00678129268494132,28.0,0.00024218902446219,,,0.129731254471095,,,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,coupling_total,,6.0,,,,0.024161406096565752,0.00869581552222337,,54,True,True,2.818248022104508e-15
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,precursor,0.6589115740740681,1.0,0.6589115740740681,154.09321928989712,6.671821038078846e-13,0.6641271242631093,0.6569856735529931,0.0001999600079984003,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,T_C,0.07078425925931242,2.0,0.03539212962965621,8.276811952837289,0.0014991668003207503,0.07134454514787013,0.06245555778797014,0.14917016596680663,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,beta,0.018737037036999027,2.0,0.009368518518499513,2.1909239954105435,0.13061396764929104,0.018885348223060247,0.010221484751635252,0.6116776644671066,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,t_hold,0.0061787037036538095,2.0,0.0030893518518269047,0.722476567567017,0.49437931881391195,0.006227610629161842,0.0,0.8510297940411917,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,precursor:T_C,0.017989814814882266,2.0,0.008994907407441133,2.1035512110633228,0.1408929548549546,0.0181322114364478,0.009471579983274983,0.6330733853229354,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,precursor:beta,0.001003703703759129,2.0,0.0005018518518795645,0.11736319485871685,0.8896972931916167,0.0010116484223645632,0.0,0.9736052789442111,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,precursor:t_hold,0.02165092592599649,2.0,0.010825462962998245,2.531645373836511,0.09758147364857812,0.02182230171487215,0.013145834573755172,0.562887422515497,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,T_C:beta,0.03511296296278488,4.0,0.00877824074069622,2.05288149223428,0.11402076612162555,0.03539089619058664,0.018073381944817914,0.7576484703059388,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,T_C:t_hold,0.034046296296310175,4.0,0.008511574074077544,1.9905187614015107,0.12334753518485017,0.034315786428326604,0.017002885918650026,0.7826434713057389,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,beta:t_hold,0.008001851851872743,4.0,0.002000462962968186,0.46782874996110296,0.7587972368339458,0.008065189728426757,0.0,0.9788042391521695,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,Residual,0.119729629630001,28.0,0.004276058201071464,,,0.12067733781577403,,,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,compaction_density,coupling_total,,6.0,,,,0.04096616157368452,0.022617414557030154,,54,True,True,3.7127245722246016e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,D_sec,precursor,442.5025127235276,1.0,442.5025127235276,704.829759134283,2.1504998240679343e-21,0.9008741154155328,0.8984476254680072,0.0001999600079984003,54,True,True,5.151434834260726e-13
drop_precursor_L,"剔除前驱体L,只留{S,M}(3.67/9.70µm,跨度2.64倍)",precursor,D_sec,T_C,18.027684516512636,2.0,9.013842258256318,14.357487438112404,5.110272067810513e-05,0.03670188049745759,0.034102004682928344,0.382123575284943,54,True,True,5.151434834260726e-13
