sample_id,precursor,r2
C01-M,M,0.7396842593091428
C01-M,M,0.8163909941900794
C01-M,M,0.8911788245811968
C01-M,M,0.8987395374109262
C01-M,M,0.943025049718686
C01-M,M,0.7426027483077269
C01-M,M,0.8433856315750587
C01-M,M,0.885999942851587
C01-M,M,0.9011105577429982
C01-M,M,0.8542652439047386
C01-M,M,0.8512405644644345
C01-M,M,0.888935817733053
C01-M,M,0.8847089610858253
C01-M,M,0.8324036639251422
C01-M,M,0.8640616651213342
C01-M,M,0.8580701148544079
C01-M,M,0.9057542337143608
C01-M,M,0.9372870501123718
C01-M,M,0.9168368791516028
C01-M,M,0.9042750237184376
C01-M,M,0.8884289343670119
C01-M,M,0.8881380963792291
C01-M,M,0.95698783116552
C01-M,M,0.8073160192934299
C01-M,M,0.9799293771898137
C01-M,M,0.944465856185607
C01-M,M,0.6550221866447125
C01-M,M,0.8360081536689637
C01-M,M,0.8655386105841822
C01-M,M,0.9977873646637628
C01-M,M,0.9004692084610639
C01-M,M,0.8784453320144827
C01-S,S,0.9793733730075164
C01-S,S,0.9129441664534368
C01-S,S,0.8536564171516063
C01-S,S,0.912478813773704
C01-S,S,0.7733194039985172
C01-S,S,0.7936645181926928
C01-S,S,0.8278153267511089
C01-S,S,0.9025471009134706
C01-S,S,0.9113117175426536
C01-S,S,0.6687081798137354
C01-S,S,0.8369313501101183
C01-S,S,0.8980434914128734
C01-S,S,0.940342482556378
C01-S,S,0.8548241555803705
C01-S,S,0.9428813491020476
C01-S,S,0.9569796818437916
C01-S,S,0.779807484265382
C01-S,S,0.8821859959966637
C01-S,S,0.7807710091508572
C01-S,S,0.9533700544960874
C01-S,S,0.9102728086685832
C01-S,S,0.7854285577013262
C01-S,S,0.7771381702063834
C01-S,S,0.9461184810383948
C01-S,S,0.7434667141909539
C01-S,S,0.7837273572621607
C01-S,S,0.7256670656361308
C01-S,S,0.9576007935963512
C01-S,S,0.7968092208904429
C01-S,S,0.8779417212229965
C01-S,S,0.8517870615712957
C01-S,S,0.9274833871255808
C01-S,S,0.6930449833132626
C01-S,S,0.7431786665164034
C01-S,S,0.9398067680229378
C01-S,S,0.8658025533482112
C01-S,S,0.958329645094843
C01-S,S,0.8971855495716701
C01-S,S,0.950904678192332
C01-S,S,0.8445971323233963
C01-S,S,0.9419543650937638
C01-S,S,0.6949108650361414
C01-S,S,0.8859433528496331
C01-S,S,0.8229667334442843
C01-S,S,0.8850691647345428
C01-S,S,0.909012713021678
C01-S,S,0.8499342658462761
C01-S,S,0.7777700461769994
C01-S,S,0.8380332666444448
C01-S,S,0.8519485906086561
C01-S,S,0.8951290862654941
C01-S,S,0.8510789136644892
C01-S,S,0.900922349871058
C01-S,S,0.9578987982146036
C01-S,S,0.9104288967661268
C01-S,S,0.9633427987153508
C01-S,S,0.8821017003608354
C01-S,S,0.820900697769426
C01-S,S,0.9709795892129416
