sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C03-M,101,M,0.9535672480195186,0.0029559793986848,False
C03-M,12,M,0.9499289568418704,-0.0020405167420349,False
C03-M,104,M,0.9351746460753334,-0.0010774982598533,False
C03-M,15,M,0.9239460811736128,0.0012079276273979,False
C03-M,107,M,0.8933205202682136,0.0023755867660852,False
C03-M,18,M,0.873647224572999,-0.0011138554491694,False
C03-M,110,M,0.8569032746042354,0.0051216829339679,False
C03-M,113,M,0.8446832018352133,-0.0055908222920919,False
C03-L,3,L,0.9896007378750312,-0.0099317549559181,True
C03-L,6,L,0.9574769739002033,0.0001245190011758,True
C03-L,101,L,0.9535605678040602,0.0004910765720111,False
C03-L,12,L,0.9499139626938008,-0.0019093802816598,False
C03-L,104,L,0.935150859728632,-3.8088337305453024e-05,False
C03-L,15,L,0.9239104330531748,0.0043760621622226,False
C03-L,107,L,0.8932809861221076,0.0029268995783979,False
C03-L,18,L,0.8736105291720618,-0.0031551098946565,False
C03-L,110,L,0.8569015131088106,-0.0015668695245736,False
C03-L,113,L,0.8446165347722364,0.0008343579890919,False
C04-S,3,S,0.9896291394665808,-0.0173971768651099,True
C04-S,6,S,0.957573382213376,-0.0032614968742024,True
C04-S,101,S,0.9534661211615946,0.0007046325775448,False
C04-S,12,S,0.9498290863122728,-0.0024871363741354,False
C04-S,104,S,0.9351007462541056,-0.0019527630290738,False
C04-S,15,S,0.9238510020193432,0.0124507520974006,False
C04-S,107,S,0.8933216787505877,0.0011500557668142,False
C04-S,18,S,0.8736823254100795,-0.0017610062163768,False
C04-S,110,S,0.8565767426805275,0.0020469499709392,False
C04-S,113,S,0.8443538553798666,-0.0041622452185094,False
C04-M,3,M,0.9896232367051392,-0.0132820487090015,True
C04-M,6,M,0.9575633246748864,-0.0032971233660461,True
C04-M,101,M,0.9534754792332768,0.0007014331008932,False
C04-M,12,M,0.9498352682594924,-0.0017444407487019,False
C04-M,104,M,0.9350951246327542,0.000982261491238,False
C04-M,15,M,0.923860899933398,0.0093972803335802,False
C04-M,107,M,0.8933120700259548,0.0007760354579247,False
C04-M,18,M,0.8736663196003278,-0.0023186806634782,False
C04-M,110,M,0.8566292081607562,-0.0048252254791094,False
C04-M,113,M,0.8443388745922876,0.0027540838616602,False
C04-L,3,L,0.989631988044448,-0.014917464332008,True
C04-L,6,L,0.9575870729279128,-0.0053149770888651,True
C04-L,101,L,0.9534701033838116,0.0037760592957951,False
C04-L,12,L,0.949831354894199,0.001109131634351,False
C04-L,104,L,0.935097097793072,0.003087193219649,False
C04-L,15,L,0.9239006126112486,0.0010761623150941,False
C04-L,107,L,0.8933240898890761,0.0031094551529946,False
C04-L,18,L,0.8736868341888252,-0.0007720263279722,False
C04-L,110,L,0.8566177247017946,-0.003707799306845,False
C04-L,113,L,0.8443444035784776,0.0008646283591531,False
C07-S,3,S,0.9896287451952924,-0.0187148641204437,True
C07-S,6,S,0.9575632283974228,0.0017863667666659,True
C07-S,101,S,0.95344953636836,0.0028590664342473,False
C07-S,12,S,0.9498150815472072,-0.0011072335331618,False
C07-S,104,S,0.9350938236720996,-0.0020803273038083,False
C07-S,15,S,0.92387400002726,0.0040898409440615,False
C07-S,107,S,0.8933253820363475,0.0007653439345105,False
C07-S,18,S,0.8736838041729887,-0.0004216056518444,False
C07-S,110,S,0.8565457242143346,0.004482025942508,False
C07-S,113,S,0.8443424943327156,-0.0053956203672669,False
C07-M,3,M,0.989623148026995,-0.018176866712114,True
C07-M,6,M,0.9575766837435056,0.0002101056166026,True
C07-M,101,M,0.9533758084852392,0.0062145097148942,False
C07-M,12,M,0.949748374201176,0.0002615185972416,False
C07-M,104,M,0.9350299637514162,0.000873808295779,False
C07-M,15,M,0.9238414769285662,-0.0005414460117023,False
C07-M,107,M,0.8932930126550257,0.0018745462772429,False
C07-M,18,M,0.8736725591492653,-0.0010990395182375,False
C07-M,110,M,0.8564149467009822,-0.0047905456451005,False
C07-M,113,M,0.844137519560809,0.0030225533473924,False
C07-L,3,L,0.9896258043493388,-0.0202957703026349,True
C07-L,6,L,0.9575807936605868,-0.0063002531836104,True
C07-L,101,L,0.9534285806252968,0.0059333472565583,False
C07-L,12,L,0.9498009081234904,-0.0004345371053631,False
C07-L,104,L,0.9350689313665568,0.0027557525797163,False
C07-L,15,L,0.92386886256273,0.0032746980726656,False
C07-L,107,L,0.8933182421492993,0.0022392415786427,False
C07-L,18,L,0.8736836446977263,0.0004063920991441,False
C07-L,110,L,0.8565532335117605,-0.0007519506485351,False
